No.,チャンネル名,所属,登録者数,最終投稿日,ゲーム動画率,日本語率,主なジャンル,自動判定,あなたの判定,チャンネルURL,直近タイトル例
847,湖南みあ / Mia Channel【ななしいんく】,ななしいんく,65000,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UC4PrHgUcAtOoj_LKmUL-uLQ,【 #ななし夏休み歌枠リレー 】全員惚れないと次枠へ行けません【湖南みあ】
848,Megasnoop,,64100,2026-08-27,0.5,0.0,アクション（横スクロール）,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCTJxl_EF3lcPdKfrQ-JbPkA,Did Waypoints Make us Dumber??
849,フェイチャンネル【ゲーム実況】2000本クリアした男の軌跡,,63600,2026-09-03,0.6,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCBqlbkelxtmrTCRTVISuzEA,【すぐ血ぃ吸う】何かと噂のウィッチャー3開発者の「吸血鬼RPG」がヤバすぎる【The Blood of Dawnwalk
850,すりっぷらーゼツ,,63200,2026-08-28,0.89,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCrImKHGwCZq7p0ZKzALvXRw,【NTE】過去一ヤバくなりそうなVer1.4！クロバネと明音凛はエグすぎる...!!!!【NTE: Neverness 
851,綾見ユラ / YuraAyami,,63000,2026-08-27,0.38,1.0,シューター,残す,,https://www.youtube.com/channel/UCB-aip0wsqKQPcrLW1BBJaw,【雑談】こん、にちは【綾見ユラ/YUMENOS】
852,音大生の頂点,,63000,2026-08-28,0.08,1.0,,残す,,https://www.youtube.com/channel/UCdP45IB44KtQcVxYPinr2mg,１マッチだけソロコンペ！！
853,ろくげんさん,,62900,2026-09-04,1.0,1.0,シューター,残す,,https://www.youtube.com/channel/UCf1mJyYBoa-YQ_7ya0jZrSA,【7Days to Die】#26 ゾンビは意外なところから来る!! 拠点崩壊の危機!!
854,アオイゲーム【ドラクエ】,,62800,2026-08-25,0.15,1.0,,残す,,https://www.youtube.com/channel/UCy6AtkT5P0bCMsr9qDFZa1A,【緊急】天地創造が2027年発売決定！リマスターか？FFレゾナンスにFF16クライヴ登場！【Switch2】
855,ユウキIタロⅡ開拓録,,62100,2026-09-02,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCkdA0VeBCfPY4rTUcaz9iug,
856,テリア,,62000,2026-08-26,0.42,1.0,,残す,,https://www.youtube.com/channel/UCW1d636fmkmF3yw-q-7xJvA,IGO副会長茂松も認めた! 大人気猛獣【鮟鱇鳥】参戦ｯﾂﾂ!【ARK: Survival Ascended】【自分をトリ
857,マキトch,,61700,2026-08-17,0.6,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCoWpYqe5ldgV8KRKFlLDpkA,【雪葬】徹底考察!!ゲームのタイトルに込められた深い意味について/ホラー/考察
858,kukuri ch * 戸鎖 くくり *,,61600,2026-08-28,0.4,1.0,シューター,残す,,https://www.youtube.com/channel/UC0gbkS-xhcWWXfWugQUSRuw,【Palworld】完全初見でパルワールド🎮噂の世界樹に行ってみたい.ᐟ　#8【戸鎖くくり/個人勢Vtuber】
859,えおちゃんねる！,,61500,2026-08-26,0.9,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCVOX6XT2vczMXaKKVBrCvbg,おなつ休み#4【ARK】
860,ふぇに男,,61400,2026-08-28,0.89,1.0,,残す,,https://www.youtube.com/channel/UC60rk5b8PSc13WqESew3wkw,アセンダントの闇を超え光が集まるイモ帯へ進む男【VALORANT】#ふぇに男 #ゲーム実況 #valorant
861,ACHRORA - mekPark,,61000,2026-08-27,0.12,1.0,,残す,,https://www.youtube.com/channel/UChpRPsAeSZn5DistGacR3iA,【緊急】ぽかぽか時間をお休みしてしまった件について【謝罪会見】#由比河ひなみ #ひなみ通信
862,緑青くれは / Kureha Channel【ななしいんく】,ななしいんく,60900,2026-08-28,0.36,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCiWkgRl4asSN5kRUSWgRLWQ,【 ホラゲー/ 雪葬 】チラズアート最新作❕呪われた村で雪にまみれるヒトコワホラー👻❄【緑青くれは / ななしいんく】
863,サンシャイン池崎の爆裂ゲームバカ一代！！！,,60900,2026-08-27,1.0,0.3,RPG,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCB0C7qm0piywOwPcr7FqySw,デドバ
864,ごりえ【ゲーム解説 考察】,,60600,2026-08-22,0.55,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UClKG_VQd9QFK7dzEL1YxXRg,【リトナイ３】細かすぎる！通常プレイでは気づけない背景に隠されカルネヴァーレエリアの秘密10選
865,またギリ,,60500,2026-08-29,0.33,1.0,ポイントクリック,残す,,https://www.youtube.com/channel/UCdL6BRZFcpvA3hbGftdWWHw,【解説】ピザ屋なのにハンバーガー？！FNAFとハンバーガー【ファイブナイツアットフレディーズ】
866,らっしゃー ch,,59800,2026-08-25,0.73,1.0,シューター,残す,,https://www.youtube.com/channel/UC22TmT0agtdxRc8HN8xURXQ,【豚笑楽】豚笑楽の3人でキャッチボールの予定を立てようとするらっしゃー【Escape from Tarkov/柊ツルギ 
867,瀬島るい / Rui Channel 【ななしいんく】,ななしいんく,59500,2026-08-28,0.4,1.0,アクション（横スクロール）,残す,,https://www.youtube.com/channel/UC_WOBIopwUih0rytRnr_1Ag,【 朝活 】初見さんもおはよ💗8月終わりますね！いい思い出あった？🐶💉【 瀬島るい┋ななしいんく】
868,はたさこ / hatasako_flag,高田村,59400,2026-08-27,1.0,0.8,ストラテジー,残す,,https://www.youtube.com/channel/UCmPOxRiJ6ik3l04cNNt0H0w,流石に白だと信じたいｗｗｗ【AmongUs】
869,害悪プレイヤー,,58500,2026-09-04,0.33,1.0,シューター,残す,,https://www.youtube.com/channel/UCnA2nbyyN3FI4wXD11aObug,ちょっとだけ配信するよ
870,ありすた,,58400,2026-09-01,0.88,1.0,,残す,,https://www.youtube.com/channel/UCptVeXD0HmbxYMw5UeoJHOQ,【スタレ】誰でも簡単に階差高難易度５連勝できるおすすめ仮面【崩壊スターレイル】【ゆっくり実況】
871,sakuraのゲーム実況チャンネル,,57900,2026-08-27,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCFWRyeYmnJ1kQZI9KrxNf4A,【最終回】絶望の中で、それでも「希望」を信じて。【ダンガンロンパ初見実況】
872,PM. Films,,57800,2026-08-19,0.64,0.0,シューター,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCLgsoaMazqFNUhQou7tjDYQ,Brand New Day’s DISASTROUS 5 Year Production Cycle
873,たまチャンネル,,57500,2026-08-29,0.8,1.0,RPG,残す,,https://www.youtube.com/channel/UCJ-PBjKPCIfgDS6TMr8SAQQ,【Vampire Survivors】格安新DLC＆大型拡張で、さらにやりこみ要素エンドレスへ：今後任意のドット絵でキャ
874,魔光リサ - Lisa Makoh -,,57500,2026-08-29,1.0,1.0,シューター,残す,,https://www.youtube.com/channel/UCDrG8pzkq_cCCLcN5wgrzNw,【 #ストグラ 】76日目 今日こそ休憩日【 #真島ルイ /Re:AcT】
875,volt ゲーム反応集,,57400,2026-09-05,1.0,1.0,RPG,残す,,https://www.youtube.com/channel/UCzgw9g1Vjb7CNMDe8W86uCQ,【エルデンリングDLC】新グッズ情報続々公開！エルデンカート開始！【ELDEN RING Tarnished Editi
876,コンコヌゆっくり実況,,57200,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UC5qhQUweuoU4MODcsu53njA,【ゆっくり実況】【最強】ドクマリVIP50連勝してしまいました～ドクマリと破壊するVIP285〜【スマブラSP】
877,塩入永遠,,57100,2026-09-01,0.82,1.0,,残す,,https://www.youtube.com/channel/UCJHHvuOv2Hilo2ScSYndw2w,残り体力1のフリーデに敗北してデトロイトスマッシュ出かけた【裏ダークソウル3】#2
878,羊飼いK,高田村,56400,2026-08-27,0.11,1.0,格闘,残す,,https://www.youtube.com/channel/UCdzSQbtvVyIkuUo9Nj8F8hw,【人狼】もう、その椅子から降りろ…【#おさかなじんろう 】
879,ユウナのゆ♨️ / Yuuna,,56200,2026-08-28,0.29,1.0,RPG,残す,,https://www.youtube.com/channel/UCIP2V-Seu9IPm2Estza0L6w,【 かまいたちの夜/SFC 】ホラーかと思っていたのにまるでギャルゲーのような展開にｗ【実写/女性実況/ユウナのゆ/レト
880,まるげりちゃ / Margher Richa,,56200,2026-08-28,0.25,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCsrH_eLD23MzxZAmbGMr0SQ,【#雀魂 #朝活 】４位になったら即終了~MAKAがSなら許されたい~/玉の間【#ぶいぱい / アップランド 】
881,いずちゃんねる,高田村,56100,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UClScCi0_cOvV01P5Abn_LKQ,【バトロワ】マリカワールドの全世界を使って壮大なサバイバルをやってみた(ﾉω`)【マリオカート ワールド/Mario K
882,あずく,,55800,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCRi-tVLdafirUZJTTINHp3w,ショート動画の音源で使うと伸びる曲
883,ことは唯,,55100,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UCuLzcPK2IsYnpQ233AgaXPg,"【検証】""単騎""で大型大会トップ８入りしたことないキャラ、そこそこいる説【スマブラSP】"
884,天羽衣 / Amaui Channel【ななしいんく】,ななしいんく,55000,2026-08-28,0.75,1.0,シューター,残す,,https://www.youtube.com/channel/UCW98GVLrx8lG_ddOts3cl4g,☾ ໋ #17〖 FF7 REBIRTH 〗深夜チルでFF7リバースです .ᐟ.ᐟ🗡#ファイナルファンタジーVII リバ
885,月野木ちろる / Tirol Channel 【ななしいんく】,ななしいんく,54600,2026-08-27,0.05,1.0,,残す,,https://www.youtube.com/channel/UCqskJ0nmw-_eweWfsKvbrzQ,【 #ななし夏休み歌枠リレー 】アイドルソングの歌い方の解像度が高いタイプのキモヲタ～なつのすがた～🌻【月野木ちろる‐T
886,マグ,,54600,2026-08-26,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCt1nmbp1PFHpebz6WLSgJVg,
887,キスケGAME,,54500,2026-09-02,0.5,1.0,RTS,残す,,https://www.youtube.com/channel/UC0P3fkB03CTCfADNoKobFSw,【エンドフィールド】圧倒的な火力！限定★６キャラ「ティフォロス」性能解説！ オペレーター/育成/おすすめパーティー編成/
888,そっしーの開拓地,,54400,2026-08-26,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UC7bsuPf841U0u3TCtf5IRrA,【弾き語り】真夏のハーモニーソングスペシャル
889,くるるてんてー丨くるる甲子園,,54300,2026-08-24,0.42,1.0,シューター,残す,,https://www.youtube.com/channel/UCb0FJKE6EFtPlwYHl1CNfWA,【絶対絶望少女ダンガンロンパ】自認ジェノサイダー翔の初見プレイ｜2章
890,【将棋】右四間飛車チャンネル そら,,54300,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCvSGrYYdru4lZb690_33PxA,「秒で６三と金できて勝ち定跡」が楽しすぎるwwwww
891,汰鳥ヨシダ,,54300,2026-09-01,1.0,1.0,,残す,,https://www.youtube.com/channel/UCCpjSP5RTe90Amb3gcFLl5g,ディスク鑑賞会をやろうかPart２【質問歓迎/ゼンレスゾーンゼロ】【ネタバレ注意】
892,toga【とが】,,54100,2026-09-04,1.0,1.0,,残す,,https://www.youtube.com/channel/UC3dqP_imIdGnY5OcHJ1t-JQ,【この笑顔反則】笑顔が想像以上に可愛すぎるマイクラ実況者ランキング
893,蛇女ちゃんねる🚗🐍,,53600,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UC9tl2qIQWcKMf9UPhiuNAcA,🚗爆音左ハンドル車のマナー？心遣い？ってどうなの？　#cobra #スタバ
894,わした,,53500,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UCV8gvZ3-ZlHsf4k0QlJwTLg,"【クソスピリッツ紹介】"" 無限∞空N編成 "" でスマブラを終了させる動画"
895,セシ,,53500,2026-08-29,0.44,1.0,RPG,残す,,https://www.youtube.com/channel/UCTlgNvpEIlrAj9qL5BKXUcg,水着リリスの宝具Lv上げに悩みつつ周回する人の配信！ガチャの質問・相談いつでもカモン！＜初見歓迎＞
896,バキュン / オンラインゲーム&新作ゲーム情報,,53200,2026-08-26,0.3,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCSs2L7_Cn54njzcxxPQ8Kgg,"""基本無料でガチャなし""＆着せ替えもできる、アニメ調オープンワールド『無限大ANANTA』がリリース日決定へ"
897,あの頃ゲームズ【ゆっくり】レトロゲーム風,,53100,2026-08-26,0.25,1.0,RPG,残す,,https://www.youtube.com/channel/UCJfDf7MU0GqQGQohL04v0VQ,【SFC天地創造】伝説の名作アクションRPGをポリメガで！！リマスター前にSFC版を遊びつくせ！｜ゆっくりボイスLive
898,茜音カンナ / Canna Channel【ななしいんく】,ななしいんく,52900,2026-08-27,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCkpqb53xiOvOgNYEbNpFSyw,【 #ななし夏休み歌枠リレー 】夏を感じつつ、ビシっとバトンを繋げます🍧～sing stream～【茜音カンナ / なな
899,キャシーさんはホラーゲームで遊びたい,,52500,2026-08-27,0.7,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UC4c_neRdUOIwK2fegPocHqA,【誕生日】5万人行ったんで約束だったアレ出すよ！【Vキャシー/Vtuber】雑談
900,CoolDee,,52100,2026-08-25,1.0,0.0,シューター,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCkwJlg1had69f6a2gp8-2hw,I Found DAYTIME CULTISTS on a Tarkov Scav Run...
901,ホタ チャンネル,,52100,2026-08-09,1.0,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCE6Ji384jD3atZIi4zk_55Q,【Farthest Frontier】領主のお姉さん実況 81【街づくり】
902,ジョーカーのゲーム攻略チャンネル,,52100,2026-09-06,0.5,1.0,RPG,残す,,https://www.youtube.com/channel/UC1R5dkg2WF8-zvDlkDEMDUw,【鬼武者WOS】赤魂枯渇が無くなる！最優先で取りたいスキル&御守り！関門弁慶攻略！
903,marunnn【まるーんチャンネル】,,51400,2026-08-29,1.0,1.0,シューター,残す,,https://www.youtube.com/channel/UC0gRGPpsGayllgHlESwl_vw,"【#ストグラ】新犯罪 ""フリーサ銀行強盗"" の報酬が低すぎて、絶句する犯罪者と花沢まるんｗ【ギルテックス/空衣御侍/レン"
904,ましゅーようつべ,,51400,2026-08-30,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCmhF3HkVusYeYNsm6jaFdAg,50000人行くまで終われない配信行きます　（）
905,ふんさん《ゲーム実況》,,51300,2026-09-08,0.91,1.0,レース,残す,,https://www.youtube.com/channel/UCUYznT6I8SyhI_TEfmrnEkA,最初のアイテムを3周目に!?シャボンディ諸島式打開で成り上がり!!【マリオカートWii】
906,デイト // Deito,,51100,2026-08-28,1.0,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCOwCOElNtXaidlCwRLK4Y7Q,【VALORANT】おもしれェ野良に会いに行く！【スイフトプレイ】
907,ヤマト反応集【アニメ・漫画・ゲーム反応集】,,51000,2026-08-23,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCnO6zu_lyM8o-W8idAlpTTA,
908,nobi tube,,50700,2026-08-28,0.63,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCof1UwAzZ7gQSuWkyqh3OGw,【夏のホラー特集】ノビの最も恐れたホラゲーがついに完結！  OUT LAST 第3夜 【ノビ/NOBI】
909,Mitora ch.紅羽ミトラ,,50600,2026-08-27,0.5,1.0,RPG,残す,,https://www.youtube.com/channel/UCCOO1eldASxbdac2ObbERTQ,【キャプテン翼２ WORLD FIGHTERS／PS5】新作キャプ翼遊ぶ！！！【紅羽ミトラ/Vtuber】
910,青桐エイト,Neo-Porte,50400,2026-08-23,0.95,1.0,シューター,残す,,https://www.youtube.com/channel/UC4Xuz67FNRr69ILv2b7ZRBA,【VALORANT】 とりまスクリム w/電・A・ルーエ ひょう太朗 まんじちゃん。カマちゃん【青桐エイト/ネオポルテ】
911,Chilla's Art,,50400,2026-08-13,1.0,0.33,アドベンチャー,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCskuYABrWRWT0zf4m7FswDQ,Snowed Under | 雪葬 Trailer
912,Chris Channel / 獅子王クリス 【ななしいんく】,ななしいんく,49700,2024-05-23,0.0,1.0,,外す（1年以上更新なし）,,https://www.youtube.com/channel/UC--A2dwZW7-M2kID0N6_lfA,【３D】今までありがと～！卒業ライブです！#あたち卒業ライブ【獅子王クリス/ななしいんく】
913,ゲーム雑学の勇者,,49600,2026-08-28,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCAJOdHcaHZhv3k90kUwAOvw,
914,顔芸,,49500,2026-08-30,1.0,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCYxLnfa6hsEgg8rt4l96MSQ,あの徒歩キラー救済パーク『最後のお楽しみ』が帰ってきたぞ！【Dead by Daylight #顔芸】
915,ざわ氏/zawashi,,49500,2026-08-30,0.65,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCgpe0WOk6DSNNgbMlh3JQ9A,スキルチェック頻度が増えた気がするので爆速発電構成が最強です【DbD】【サバイバーVSハウンドマスター】
916,Molf Ch. 海汐もるふ,,48900,2026-08-27,0.5,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCyVypf7vg9KqoDiXkDIvetg,【ノロイカゴ ゲゲゲの夜】ゲゲゲの鬼太郎のホラゲ!?協力して妖怪から逃げきれ!!【海汐もるふ/星屑ぷらね】
917,カサイノ,,48500,2026-08-30,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UC8Ga8JpK7ba3HKsnC7IIemA,
918,KENのスマブラ配信,,48000,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UCao2KUfroeJuZt8u2ObqjOw,渋谷大乱#1 優勝！ ハイライト集【スマブラSP】
919,Tama【ゲーム紹介ch】,,48000,2026-08-24,0.25,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCkzL-cdD0aP6qg-4i5OqK7Q,【一気見/総集編】自称チルゲーな地獄の作業ゲーで無限に儲ける琴葉葵と夏色花梨の単発動画傑作集【VOICEROID実況】
