name	channel_id	affiliation
StylishNoob		ストリーマー
SPYGEA		ストリーマー
だるまいずごっど		ストリーマー
ボドカ		ストリーマー
ありさか		ストリーマー
赤見かるび		ストリーマー
おじじ		ストリーマー
Jasper		ストリーマー
ta1yo		ストリーマー
天月		ストリーマー
なずぴ		ストリーマー
胡桃のあ(個人)		ストリーマー
2BRO. / 兄者弟者		実況グループ
おついち		実況グループ
キヨ。		実況者
レトルト		実況者
牛沢		実況者
ガッチマン		実況者
フジ		実況者
三人称 / ドンピシャ		実況グループ
ぺちゃんこ		実況グループ
鉄塔		実況グループ
最終兵器俺達		実況グループ
幕末志士		実況者
もこう		実況者
ゆゆうた		実況者
PDRさん		実況者
おおえのたかゆき		実況者
たくっち		実況者
カズクラ / カズ		実況者
まいぜんシスターズ		実況グループ
ぐっちの部屋		実況者
あかがみんクラフト		実況者
HikakinGames		実況者
セイキンゲームズ		実況者
はじめしゃちょーの畑		実況者
東海オンエア		実況グループ
水溜りボンド		実況グループ
スカイピース		実況グループ
くまお		実況者
ふぇいたん		実況者
らっだぁ		実況者
むつー		実況者
しゅーや		実況者
うんこちゃん切り抜き除外		除外候補
兄, 弟者 サブ		除外候補
